Date,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,52W H,52W L,VOLUME,VALUE,No of trades 
05-Jul-24,68,68,67,68,68,68,78,25,63395768,4289682073,176068
04-Jul-24,66,68,65,66,68,68,78,25,79104545,5302954399,176055
03-Jul-24,65,67,65,65,66,66,78,25,29738133,1952293059,92941
02-Jul-24,65,65,64,65,65,65,78,25,17156394,1113639966,77650
01-Jul-24,65,66,65,65,65,65,78,25,16562927,1078574162,83240
28-Jun-24,65,65,65,65,65,65,78,25,21702101,1407902571,100143
27-Jun-24,66,66,64,66,65,65,78,25,25769251,1680230467,107084
26-Jun-24,66,66,65,66,66,66,78,25,18993673,1247858531,75324
25-Jun-24,66,67,66,66,66,66,78,25,23880497,1581220610,83370
24-Jun-24,66,67,65,66,66,66,78,25,65131252,4341536337,174162
21-Jun-24,66,67,65,66,66,66,78,25,50904821,3364553055,178259
20-Jun-24,65,66,64,64,66,66,78,25,60939382,4002096693,179106
19-Jun-24,67,67,64,67,65,64,78,25,80175603,5200070185,271089
18-Jun-24,68,68,66,67,67,67,78,25,49565992,3312498568,148648
14-Jun-24,67,68,66,66,67,67,78,25,72458465,4866662764,160399
13-Jun-24,68,68,66,67,67,66,78,25,88527323,5916472076,210003
12-Jun-24,67,68,67,66,67,67,78,25,148224727,10042813911,348695
11-Jun-24,65,67,63,70,66,66,78,25,903995564,58502942245,938960
10-Jun-24,75,76,70,77,70,70,78,25,198568520,14371811461,385943
07-Jun-24,71,78,71,70,78,77,78,25,150325869,11199440799,256366
06-Jun-24,69,71,69,67,70,70,77,25,47965069,3374482926,116378
05-Jun-24,68,69,63,66,67,67,77,25,60921960,4032490368,186043
04-Jun-24,73,74,58,73,66,66,77,25,177923891,12041753333,445496
03-Jun-24,75,75,71,66,73,73,77,25,173742360,12640762668,420304
31-May-24,66,67,65,65,66,66,77,25,66064005,4354624211,180120
30-May-24,67,68,64,73,66,65,77,25,373284764,24591850634,417482
29-May-24,71,73,70,72,73,73,77,25,23853528,1711422050,58190
28-May-24,73,74,70,73,72,72,77,25,26423616,1889292569,73362
27-May-24,73,77,73,73,73,73,77,25,38678723,2871561616,99095
24-May-24,74,75,72,74,73,73,76,25,24457035,1784512359,71567
